"","X","ID.true","Word","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","ReactionTime","LogReactionTime"
"47",50,"28bf87dcce8e2296cc0912f3a280fe6b","vomit","concrete-negative","Valence","VC","A","negative",1,628,6.4425401664682
"48",51,"28bf87dcce8e2296cc0912f3a280fe6b","music","concrete-positive","Valence","VC","A","positive",1,588,6.37672694789863
"49",52,"28bf87dcce8e2296cc0912f3a280fe6b","garbage","concrete-negative","Valence","VC","A","negative",1,619,6.4281052726846
"50",53,"28bf87dcce8e2296cc0912f3a280fe6b","compassion","abstract-positive","Valence","VC","A","positive",1,761,6.63463335786169
"51",54,"28bf87dcce8e2296cc0912f3a280fe6b","mold","concrete-negative","Valence","VC","A","negative",1,633,6.45047042214418
"52",55,"28bf87dcce8e2296cc0912f3a280fe6b","grief","abstract-negative","Valence","VC","A","negative",1,719,6.57786135772105
"53",56,"28bf87dcce8e2296cc0912f3a280fe6b","chocolate","concrete-positive","Valence","VC","A","positive",1,1213,7.10085190894405
"54",57,"28bf87dcce8e2296cc0912f3a280fe6b","love","abstract-positive","Valence","VC","A","positive",1,585,6.37161184723186
"55",58,"28bf87dcce8e2296cc0912f3a280fe6b","laughter","concrete-positive","Valence","VC","A","positive",1,732,6.59578051396131
"56",59,"28bf87dcce8e2296cc0912f3a280fe6b","joy","abstract-positive","Valence","VC","A","positive",1,479,6.17170059741091
"57",60,"28bf87dcce8e2296cc0912f3a280fe6b","regret","abstract-negative","Valence","VC","A","negative",1,612,6.41673228251233
"58",61,"28bf87dcce8e2296cc0912f3a280fe6b","sunshine","concrete-positive","Valence","VC","A","positive",1,753,6.62406522779989
"59",62,"28bf87dcce8e2296cc0912f3a280fe6b","stench","concrete-negative","Valence","VC","A","negative",1,520,6.25382881157547
"60",63,"28bf87dcce8e2296cc0912f3a280fe6b","flowers","concrete-positive","Valence","VC","A","positive",1,610,6.41345895716736
"61",64,"28bf87dcce8e2296cc0912f3a280fe6b","despair","abstract-negative","Valence","VC","A","negative",1,603,6.40191719672719
"62",65,"28bf87dcce8e2296cc0912f3a280fe6b","peace","abstract-positive","Valence","VC","A","positive",1,559,6.3261494731551
"63",66,"28bf87dcce8e2296cc0912f3a280fe6b","lonliness","abstract-negative","Valence","VC","A","negative",1,778,6.65672652417839
"64",67,"28bf87dcce8e2296cc0912f3a280fe6b","envy","abstract-negative","Valence","VC","A","negative",1,926,6.83087423464618
"65",68,"28bf87dcce8e2296cc0912f3a280fe6b","anxiety","abstract-negative","Valence","VC","A","negative",1,788,6.66949808985788
"66",69,"28bf87dcce8e2296cc0912f3a280fe6b","smoke","concrete-negative","Valence","VC","A","negative",1,1114,7.01571242048723
"67",70,"28bf87dcce8e2296cc0912f3a280fe6b","failure","abstract-negative","Valence","VC","A","negative",1,430,6.06378520868761
"68",71,"28bf87dcce8e2296cc0912f3a280fe6b","kindness","abstract-positive","Valence","VC","A","positive",1,500,6.21460809842219
"69",72,"28bf87dcce8e2296cc0912f3a280fe6b","shame","abstract-negative","Valence","VC","A","negative",1,633,6.45047042214418
"70",73,"28bf87dcce8e2296cc0912f3a280fe6b","beach","concrete-positive","Valence","VC","A","positive",1,626,6.4393503711001
"71",74,"28bf87dcce8e2296cc0912f3a280fe6b","rot","concrete-negative","Valence","VC","A","negative",1,515,6.24416690066374
"72",75,"28bf87dcce8e2296cc0912f3a280fe6b","happiness","abstract-positive","Valence","VC","A","positive",1,529,6.2709884318583
"73",76,"28bf87dcce8e2296cc0912f3a280fe6b","hope","abstract-positive","Valence","VC","A","positive",1,559,6.3261494731551
"74",77,"28bf87dcce8e2296cc0912f3a280fe6b","fireplace","concrete-positive","Valence","VC","A","positive",1,599,6.39526159811545
"75",78,"28bf87dcce8e2296cc0912f3a280fe6b","gratitude","abstract-positive","Valence","VC","A","positive",1,625,6.4377516497364
"76",79,"28bf87dcce8e2296cc0912f3a280fe6b","guilt","abstract-negative","Valence","VC","A","negative",1,552,6.31354804627709
"77",80,"28bf87dcce8e2296cc0912f3a280fe6b","home","concrete-positive","Valence","VC","A","positive",1,572,6.3491389913798
"78",81,"28bf87dcce8e2296cc0912f3a280fe6b","sunshine","concrete-positive","Valence","VC","A","positive",1,508,6.23048144757848
"79",82,"28bf87dcce8e2296cc0912f3a280fe6b","despair","abstract-negative","Valence","VC","A","negative",1,556,6.32076829425058
"80",83,"28bf87dcce8e2296cc0912f3a280fe6b","failure","abstract-negative","Valence","VC","A","negative",1,568,6.34212141872115
"81",84,"28bf87dcce8e2296cc0912f3a280fe6b","anxiety","abstract-negative","Valence","VC","A","negative",1,1062,6.96790920180188
"82",85,"28bf87dcce8e2296cc0912f3a280fe6b","filth","concrete-negative","Valence","VC","A","negative",1,854,6.74993119378857
"83",86,"28bf87dcce8e2296cc0912f3a280fe6b","laughter","concrete-positive","Valence","VC","A","positive",1,1840,7.51752085060303
"84",87,"28bf87dcce8e2296cc0912f3a280fe6b","chocolate","concrete-positive","Valence","VC","A","positive",1,514,6.24222326545517
"85",88,"28bf87dcce8e2296cc0912f3a280fe6b","guilt","abstract-negative","Valence","VC","A","negative",1,650,6.47697236288968
"86",89,"28bf87dcce8e2296cc0912f3a280fe6b","resentment","abstract-negative","Valence","VC","A","negative",1,645,6.46925031679577
"87",90,"28bf87dcce8e2296cc0912f3a280fe6b","hope","abstract-positive","Valence","VC","A","positive",1,1039,6.94601399109923
"88",91,"28bf87dcce8e2296cc0912f3a280fe6b","music","concrete-positive","Valence","VC","A","positive",1,859,6.75576892198425
"89",92,"28bf87dcce8e2296cc0912f3a280fe6b","freedom","abstract-positive","Valence","VC","A","positive",1,1483,7.30182234213793
"90",93,"28bf87dcce8e2296cc0912f3a280fe6b","rot","concrete-negative","Valence","VC","A","negative",1,727,6.58892647753352
"91",94,"28bf87dcce8e2296cc0912f3a280fe6b","stench","concrete-negative","Valence","VC","A","negative",1,978,6.88550967003482
"92",95,"28bf87dcce8e2296cc0912f3a280fe6b","love","abstract-positive","Valence","VC","A","positive",1,752,6.62273632394984
"93",96,"28bf87dcce8e2296cc0912f3a280fe6b","compassion","abstract-positive","Valence","VC","A","positive",1,1181,7.07411681619736
"94",97,"28bf87dcce8e2296cc0912f3a280fe6b","mold","concrete-negative","Valence","VC","A","negative",1,1946,7.57353126274595
"95",98,"28bf87dcce8e2296cc0912f3a280fe6b","regret","abstract-negative","Valence","VC","A","negative",1,1043,6.94985645500077
"96",99,"28bf87dcce8e2296cc0912f3a280fe6b","happiness","abstract-positive","Valence","VC","A","positive",1,654,6.4831073514572
"97",100,"28bf87dcce8e2296cc0912f3a280fe6b","rust","concrete-negative","Valence","VC","A","negative",1,576,6.35610766069589
"98",101,"28bf87dcce8e2296cc0912f3a280fe6b","injury","concrete-negative","Valence","VC","A","negative",1,627,6.44094654063292
"99",102,"28bf87dcce8e2296cc0912f3a280fe6b","flowers","concrete-positive","Valence","VC","A","positive",1,927,6.83195356556585
"100",103,"28bf87dcce8e2296cc0912f3a280fe6b","beach","concrete-positive","Valence","VC","A","positive",1,788,6.66949808985788
"101",104,"28bf87dcce8e2296cc0912f3a280fe6b","shame","abstract-negative","Valence","VC","A","negative",1,667,6.50279004591562
"102",106,"28bf87dcce8e2296cc0912f3a280fe6b","fireplace","concrete-positive","Valence","VC","A","positive",1,865,6.76272950693188
"103",107,"28bf87dcce8e2296cc0912f3a280fe6b","vomit","concrete-negative","Valence","VC","A","negative",1,490,6.19440539110467
"104",108,"28bf87dcce8e2296cc0912f3a280fe6b","hug","concrete-positive","Valence","VC","A","positive",1,1292,7.16394668434255
"105",109,"28bf87dcce8e2296cc0912f3a280fe6b","joy","abstract-positive","Valence","VC","A","positive",1,1050,6.95654544315157
"106",110,"28bf87dcce8e2296cc0912f3a280fe6b","grief","abstract-negative","Valence","VC","A","negative",1,621,6.43133108193348
"107",111,"28bf87dcce8e2296cc0912f3a280fe6b","smoke","concrete-negative","Valence","VC","A","negative",1,720,6.5792512120101
"108",112,"28bf87dcce8e2296cc0912f3a280fe6b","garbage","concrete-negative","Valence","VC","A","negative",1,530,6.27287700654617
"109",113,"28bf87dcce8e2296cc0912f3a280fe6b","inspiration","abstract-positive","Valence","VC","A","positive",1,529,6.2709884318583
"110",114,"28bf87dcce8e2296cc0912f3a280fe6b","envy","abstract-negative","Valence","VC","A","negative",1,559,6.3261494731551
"111",115,"28bf87dcce8e2296cc0912f3a280fe6b","kindness","abstract-positive","Valence","VC","A","positive",1,604,6.40357419793482
"112",116,"28bf87dcce8e2296cc0912f3a280fe6b","gratitude","abstract-positive","Valence","VC","A","positive",1,866,6.76388490856244
"113",118,"28bf87dcce8e2296cc0912f3a280fe6b","peace","abstract-positive","Valence","VC","A","positive",1,897,6.7990558620588
"114",119,"28bf87dcce8e2296cc0912f3a280fe6b","lonliness","abstract-negative","Valence","VC","A","negative",1,905,6.80793494369993
"115",120,"28bf87dcce8e2296cc0912f3a280fe6b","chocolate","concrete-positive","Concrete","VC","A","concrete",1,751,6.62140565176413
"116",121,"28bf87dcce8e2296cc0912f3a280fe6b","smoke","concrete-negative","Concrete","VC","A","concrete",1,775,6.65286302935335
"117",122,"28bf87dcce8e2296cc0912f3a280fe6b","rot","concrete-negative","Concrete","VC","A","concrete",1,1086,6.99025650049388
"118",123,"28bf87dcce8e2296cc0912f3a280fe6b","anxiety","abstract-negative","Concrete","VC","A","abstract",1,555,6.31896811374643
"119",124,"28bf87dcce8e2296cc0912f3a280fe6b","rust","concrete-negative","Concrete","VC","A","concrete",1,567,6.34035930372775
"120",125,"28bf87dcce8e2296cc0912f3a280fe6b","freedom","abstract-positive","Concrete","VC","A","abstract",1,861,6.75809450442773
"121",126,"28bf87dcce8e2296cc0912f3a280fe6b","peace","abstract-positive","Concrete","VC","A","abstract",1,538,6.28785856016178
"122",127,"28bf87dcce8e2296cc0912f3a280fe6b","envy","abstract-negative","Concrete","VC","A","abstract",1,595,6.38856140554563
"123",128,"28bf87dcce8e2296cc0912f3a280fe6b","kindness","abstract-positive","Concrete","VC","A","abstract",1,509,6.23244801655052
"124",129,"28bf87dcce8e2296cc0912f3a280fe6b","fireplace","concrete-positive","Concrete","VC","A","concrete",1,899,6.80128303447162
"125",130,"28bf87dcce8e2296cc0912f3a280fe6b","hug","concrete-positive","Concrete","VC","A","concrete",1,829,6.7202201551353
"126",131,"28bf87dcce8e2296cc0912f3a280fe6b","music","concrete-positive","Concrete","VC","A","concrete",1,1208,7.09672137849476
"127",132,"28bf87dcce8e2296cc0912f3a280fe6b","inspiration","abstract-positive","Concrete","VC","A","abstract",1,610,6.41345895716736
"128",133,"28bf87dcce8e2296cc0912f3a280fe6b","love","abstract-positive","Concrete","VC","A","abstract",1,778,6.65672652417839
"129",134,"28bf87dcce8e2296cc0912f3a280fe6b","happiness","abstract-positive","Concrete","VC","A","abstract",1,777,6.65544035036765
"130",135,"28bf87dcce8e2296cc0912f3a280fe6b","grief","abstract-negative","Concrete","VC","A","abstract",1,558,6.32435896238131
"131",136,"28bf87dcce8e2296cc0912f3a280fe6b","mud","concrete-negative","Concrete","VC","A","concrete",1,629,6.44413125670044
"132",137,"28bf87dcce8e2296cc0912f3a280fe6b","mold","concrete-negative","Concrete","VC","A","concrete",1,1805,7.49831587076698
"133",138,"28bf87dcce8e2296cc0912f3a280fe6b","joy","abstract-positive","Concrete","VC","A","abstract",1,743,6.61069604471776
"134",139,"28bf87dcce8e2296cc0912f3a280fe6b","resentment","abstract-negative","Concrete","VC","A","abstract",1,873,6.7719355558396
"135",140,"28bf87dcce8e2296cc0912f3a280fe6b","sunshine","concrete-positive","Concrete","VC","A","concrete",1,1251,7.13169851046691
"136",141,"28bf87dcce8e2296cc0912f3a280fe6b","home","concrete-positive","Concrete","VC","A","concrete",1,1011,6.91869521902047
"137",142,"28bf87dcce8e2296cc0912f3a280fe6b","failure","abstract-negative","Concrete","VC","A","abstract",1,1603,7.37963215260955
"138",143,"28bf87dcce8e2296cc0912f3a280fe6b","gratitude","abstract-positive","Concrete","VC","A","abstract",1,569,6.34388043412633
"139",144,"28bf87dcce8e2296cc0912f3a280fe6b","compassion","abstract-positive","Concrete","VC","A","abstract",1,517,6.24804287450843
"140",146,"28bf87dcce8e2296cc0912f3a280fe6b","hope","abstract-positive","Concrete","VC","A","abstract",1,1084,6.98841318199959
"141",147,"28bf87dcce8e2296cc0912f3a280fe6b","lonliness","abstract-negative","Concrete","VC","A","abstract",1,1222,7.10824413973154
"142",148,"28bf87dcce8e2296cc0912f3a280fe6b","despair","abstract-negative","Concrete","VC","A","abstract",1,958,6.86484777797086
"143",149,"28bf87dcce8e2296cc0912f3a280fe6b","shame","abstract-negative","Concrete","VC","A","abstract",1,702,6.55393340402581
"144",150,"28bf87dcce8e2296cc0912f3a280fe6b","beach","concrete-positive","Concrete","VC","A","concrete",1,482,6.1779441140506
"145",151,"28bf87dcce8e2296cc0912f3a280fe6b","laughter","concrete-positive","Concrete","VC","A","concrete",1,603,6.40191719672719
"146",152,"28bf87dcce8e2296cc0912f3a280fe6b","rain","concrete-positive","Concrete","VC","A","concrete",1,449,6.10702288774225
"147",153,"28bf87dcce8e2296cc0912f3a280fe6b","garbage","concrete-negative","Concrete","VC","A","concrete",1,498,6.21060007702465
"148",154,"28bf87dcce8e2296cc0912f3a280fe6b","guilt","abstract-negative","Concrete","VC","A","abstract",1,661,6.49375383985169
"149",156,"28bf87dcce8e2296cc0912f3a280fe6b","flowers","concrete-positive","Concrete","VC","A","concrete",1,1125,7.02553831463852
"150",157,"28bf87dcce8e2296cc0912f3a280fe6b","filth","concrete-negative","Concrete","VC","A","concrete",1,1116,7.01750614294126
"151",159,"28bf87dcce8e2296cc0912f3a280fe6b","regret","abstract-negative","Concrete","VC","A","abstract",1,1609,7.38336814699238
"152",160,"28bf87dcce8e2296cc0912f3a280fe6b","anxiety","abstract-negative","Concrete","VC","A","abstract",1,807,6.69332366826995
"153",162,"28bf87dcce8e2296cc0912f3a280fe6b","grief","abstract-negative","Concrete","VC","A","abstract",1,694,6.5424719605068
"154",163,"28bf87dcce8e2296cc0912f3a280fe6b","stench","concrete-negative","Concrete","VC","A","concrete",1,1256,7.13568734702814
"155",164,"28bf87dcce8e2296cc0912f3a280fe6b","lonliness","abstract-negative","Concrete","VC","A","abstract",1,1198,7.08840877867539
"156",165,"28bf87dcce8e2296cc0912f3a280fe6b","laughter","concrete-positive","Concrete","VC","A","concrete",1,756,6.62804137617953
"157",166,"28bf87dcce8e2296cc0912f3a280fe6b","smoke","concrete-negative","Concrete","VC","A","concrete",1,675,6.51471269087253
"158",167,"28bf87dcce8e2296cc0912f3a280fe6b","injury","concrete-negative","Concrete","VC","A","concrete",1,678,6.5191472879404
"159",168,"28bf87dcce8e2296cc0912f3a280fe6b","rust","concrete-negative","Concrete","VC","A","concrete",1,905,6.80793494369993
"160",169,"28bf87dcce8e2296cc0912f3a280fe6b","rot","concrete-negative","Concrete","VC","A","concrete",1,839,6.73221070646721
"161",170,"28bf87dcce8e2296cc0912f3a280fe6b","resentment","abstract-negative","Concrete","VC","A","abstract",1,558,6.32435896238131
"162",171,"28bf87dcce8e2296cc0912f3a280fe6b","fireplace","concrete-positive","Concrete","VC","A","concrete",1,588,6.37672694789863
"163",172,"28bf87dcce8e2296cc0912f3a280fe6b","inspiration","abstract-positive","Concrete","VC","A","abstract",1,883,6.78332520060396
"164",173,"28bf87dcce8e2296cc0912f3a280fe6b","happiness","abstract-positive","Concrete","VC","A","abstract",1,3006,8.00836557031292
"165",174,"28bf87dcce8e2296cc0912f3a280fe6b","sunshine","concrete-positive","Concrete","VC","A","concrete",1,777,6.65544035036765
"166",175,"28bf87dcce8e2296cc0912f3a280fe6b","mud","concrete-negative","Concrete","VC","A","concrete",1,635,6.45362499889269
"167",176,"28bf87dcce8e2296cc0912f3a280fe6b","joy","abstract-positive","Concrete","VC","A","abstract",1,640,6.46146817635372
"168",177,"28bf87dcce8e2296cc0912f3a280fe6b","mold","concrete-negative","Concrete","VC","A","concrete",1,643,6.46614472423762
"169",178,"28bf87dcce8e2296cc0912f3a280fe6b","chocolate","concrete-positive","Concrete","VC","A","concrete",1,641,6.46302945692067
"170",179,"28bf87dcce8e2296cc0912f3a280fe6b","regret","abstract-negative","Concrete","VC","A","abstract",1,671,6.50876913697168
"171",180,"28bf87dcce8e2296cc0912f3a280fe6b","rain","concrete-positive","Concrete","VC","A","concrete",1,1286,7.15929190479756
"172",181,"28bf87dcce8e2296cc0912f3a280fe6b","hug","concrete-positive","Concrete","VC","A","concrete",1,1740,7.46164039220858
"173",182,"28bf87dcce8e2296cc0912f3a280fe6b","garbage","concrete-negative","Concrete","VC","A","concrete",1,771,6.64768837356333
"174",183,"28bf87dcce8e2296cc0912f3a280fe6b","despair","abstract-negative","Concrete","VC","A","abstract",1,501,6.21660610108486
"175",184,"28bf87dcce8e2296cc0912f3a280fe6b","kindness","abstract-positive","Concrete","VC","A","abstract",1,829,6.7202201551353
"176",185,"28bf87dcce8e2296cc0912f3a280fe6b","love","abstract-positive","Concrete","VC","A","abstract",1,871,6.7696419768525
"177",186,"28bf87dcce8e2296cc0912f3a280fe6b","vomit","concrete-negative","Concrete","VC","A","concrete",1,2404,7.7848892956551
"178",187,"28bf87dcce8e2296cc0912f3a280fe6b","guilt","abstract-negative","Concrete","VC","A","abstract",1,747,6.61606518513282
"179",188,"28bf87dcce8e2296cc0912f3a280fe6b","failure","abstract-negative","Concrete","VC","A","abstract",1,902,6.80461452006262
"180",189,"28bf87dcce8e2296cc0912f3a280fe6b","compassion","abstract-positive","Concrete","VC","A","abstract",1,998,6.90575327631146
"181",190,"28bf87dcce8e2296cc0912f3a280fe6b","filth","concrete-negative","Concrete","VC","A","concrete",1,1370,7.22256601882217
"182",191,"28bf87dcce8e2296cc0912f3a280fe6b","gratitude","abstract-positive","Concrete","VC","A","abstract",1,1325,7.18916773842032
"183",192,"28bf87dcce8e2296cc0912f3a280fe6b","music","concrete-positive","Concrete","VC","A","concrete",1,561,6.3297209055227
"184",193,"28bf87dcce8e2296cc0912f3a280fe6b","flowers","concrete-positive","Concrete","VC","A","concrete",1,735,6.59987049921284
"185",194,"28bf87dcce8e2296cc0912f3a280fe6b","beach","concrete-positive","Concrete","VC","A","concrete",1,466,6.14418563412565
"186",195,"28bf87dcce8e2296cc0912f3a280fe6b","peace","abstract-positive","Concrete","VC","A","abstract",1,606,6.40687998606931
"187",196,"28bf87dcce8e2296cc0912f3a280fe6b","freedom","abstract-positive","Concrete","VC","A","abstract",1,460,6.13122648948314
"188",197,"28bf87dcce8e2296cc0912f3a280fe6b","envy","abstract-negative","Concrete","VC","A","abstract",1,529,6.2709884318583
"189",198,"28bf87dcce8e2296cc0912f3a280fe6b","shame","abstract-negative","Concrete","VC","A","abstract",1,404,6.00141487796115
"190",199,"28bf87dcce8e2296cc0912f3a280fe6b","home","concrete-positive","Concrete","VC","A","concrete",1,611,6.4150969591716
"191",200,"28bf87dcce8e2296cc0912f3a280fe6b","garbage","concrete-negative","Concrete","VC","A","concrete",1,1439,7.27170370688737
"192",201,"28bf87dcce8e2296cc0912f3a280fe6b","home","concrete-positive","Concrete","VC","A","concrete",1,775,6.65286302935335
"193",202,"28bf87dcce8e2296cc0912f3a280fe6b","envy","abstract-negative","Concrete","VC","A","abstract",1,1039,6.94601399109923
"194",203,"28bf87dcce8e2296cc0912f3a280fe6b","resentment","abstract-negative","Concrete","VC","A","abstract",1,494,6.20253551718792
"195",204,"28bf87dcce8e2296cc0912f3a280fe6b","laughter","concrete-positive","Concrete","VC","A","concrete",1,605,6.40522845803084
"196",205,"28bf87dcce8e2296cc0912f3a280fe6b","vomit","concrete-negative","Concrete","VC","A","concrete",1,616,6.42324696353352
"197",206,"28bf87dcce8e2296cc0912f3a280fe6b","hope","abstract-positive","Concrete","VC","A","abstract",1,754,6.62539236800796
"198",207,"28bf87dcce8e2296cc0912f3a280fe6b","music","concrete-positive","Concrete","VC","A","concrete",1,609,6.4118182677099
"199",208,"28bf87dcce8e2296cc0912f3a280fe6b","stench","concrete-negative","Concrete","VC","A","concrete",1,1193,7.08422642209792
"201",210,"28bf87dcce8e2296cc0912f3a280fe6b","rot","concrete-negative","Concrete","VC","A","concrete",1,785,6.66568371778241
"202",211,"28bf87dcce8e2296cc0912f3a280fe6b","kindness","abstract-positive","Concrete","VC","A","abstract",1,805,6.69084227741856
"203",212,"28bf87dcce8e2296cc0912f3a280fe6b","filth","concrete-negative","Concrete","VC","A","concrete",1,567,6.34035930372775
"205",214,"28bf87dcce8e2296cc0912f3a280fe6b","failure","abstract-negative","Concrete","VC","A","abstract",1,1167,7.06219163228656
"206",215,"28bf87dcce8e2296cc0912f3a280fe6b","happiness","abstract-positive","Concrete","VC","A","abstract",1,544,6.29894924685594
"207",216,"28bf87dcce8e2296cc0912f3a280fe6b","injury","concrete-negative","Concrete","VC","A","concrete",1,723,6.58340922215876
"208",217,"28bf87dcce8e2296cc0912f3a280fe6b","mud","concrete-negative","Concrete","VC","A","concrete",1,761,6.63463335786169
"210",219,"28bf87dcce8e2296cc0912f3a280fe6b","regret","abstract-negative","Concrete","VC","A","abstract",1,760,6.63331843328038
"211",220,"28bf87dcce8e2296cc0912f3a280fe6b","gratitude","abstract-positive","Concrete","VC","A","abstract",1,891,6.79234442747081
"215",224,"28bf87dcce8e2296cc0912f3a280fe6b","guilt","abstract-negative","Concrete","VC","A","abstract",1,605,6.40522845803084
"216",225,"28bf87dcce8e2296cc0912f3a280fe6b","hug","concrete-positive","Concrete","VC","A","concrete",1,623,6.43454651878745
"217",226,"28bf87dcce8e2296cc0912f3a280fe6b","grief","abstract-negative","Concrete","VC","A","abstract",1,610,6.41345895716736
